"Identity","Attribute","Total","West Suburban","West Urban","South Suburban","South Urban","East Suburban","East Urban","North Suburban","North Urban","Female","Male","General Category","Scheduled Castes","Scheduled Tribes","Other Backward Classes","Hindu","Muslim","Jain","Sikh","Buddhist","Christian","",""
"Female","Good Chefs","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Germans","Drink a lot of beer","1","0","0","1","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","1","",""
"Female","Always sulk","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","Cute","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Female","Should not have Education","1","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","",""
"Female","Make up","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Grey hair","Old people","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Guardians","Responsible","1","0","0","0","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","",""
"Hindus","Vegetarian","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","",""
"Hindus","Realistic","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Hindus","Business persons","1","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Hindus","Extremists","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Hindus","Traders","1","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Hindus","Brahmins","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Hindus","Job","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","1","0","0","",""
"Hindus","Terrorist","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Hindus","Sanatana Dharma","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Hindus","Not Uncivilised","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Hindus","Not traders","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","",""
"Hindus","Sanaton dharma","1","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Hindus","Jobs","1","1","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","1","",""
"Hindus","Traditional","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","",""
"Hindus","American education","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","",""
"Hindus","Cultural","1","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","",""
"Hindus","Do not go in masjid","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Hindus","Do not go in church","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Hindu","Vegetarian","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Hindu","Nationalist","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","",""
"India","Poor","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Independent women","Opinianated","1","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"India","Is warm and welcoming country","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"India","Exploitation of workers","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","",""
"Hindus","Sanatan dharm","1","0","0","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","",""
"Indian","Head wobbles","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","",""
"Female","Homemaker","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","1","0","0","",""
"Female","Housework","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","Housework","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","",""
"Female","Housework","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Hindus","Can't go to masjid","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Hindu","Religious","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","",""
"Gujrati","Eat sweet food","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Gujrati","Sweet people","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Gujrati","Clothes traders","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","",""
"Gujrati","Businessmen","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Gujrati","Marketing people and businessmen","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","",""
"Gujrati","Money minded","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","",""
"Gujrati","Businessmen","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Gujrati","Business","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Gujrati","Foodie","1","1","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Gujrati","Business","1","1","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Hindus","Can't go to pakistan","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Gujarati","Money people","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Gujarati","Entrepreneurs","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Gujarati","are miser","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Gujarati","Best in Business","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Gujarati","Merchants","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Gujarati","Industrialists","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Gujarati","Rich business man","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Gujarati","money-minded","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Gujarati","Traditional","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Haryanvi","Gangster","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Haryanvi","Illiterate","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Higher class","Educated","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Hindu","Devotional","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","",""
"Hindu","Gita","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Harijans","Untouchables","1","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","",""
"Bada Pila","Half saree ceremony","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","",""
"Half sareemony","Trade","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","",""
"Gujaratis","Vegetarians","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","",""
"Gujaratis","Rich","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","",""
"Gujaratis","Business-minded People","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Gujaratis","Money minded","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Gujuratis","Builders","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","",""
"Gupta","traders","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Gynaecologist","Female","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","1","0","0","",""
"Bada Pila","Half saree ceremony","1","0","0","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","",""
"Biharis","collector","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","Cooking","5","0","0","0","0","0","0","3","2","0","3","3","0","0","1","5","0","0","0","0","0","",""
"Female","Housewives","5","0","0","0","0","1","0","4","0","0","5","4","0","0","1","4","0","0","0","0","0","",""
"Astrologers","Pandit","4","0","0","0","0","0","0","4","0","0","4","0","0","0","4","0","4","0","0","0","0","",""
"Jaat","Violent","4","0","0","0","0","0","0","3","1","0","3","3","0","0","1","3","0","0","0","0","0","",""
"Biharis","Labourers","4","1","2","0","0","0","1","0","0","0","4","0","3","0","1","2","0","0","0","1","0","",""
"Female","Sarees","3","0","0","0","0","0","0","3","0","0","3","0","0","0","3","3","0","0","0","0","0","",""
"Sport","Male","3","0","0","0","0","0","0","3","0","0","3","1","0","0","2","1","2","0","0","0","0","",""
"Italians","Passionate","3","2","0","1","0","0","0","0","0","0","3","3","0","0","0","3","0","0","0","0","0","",""
"Boys","Trucks","3","1","0","2","0","0","0","0","0","0","2","3","0","0","0","3","0","0","0","0","0","",""
"Female","Can not drive","3","3","0","0","0","0","0","0","0","0","3","1","1","0","0","3","0","0","0","0","0","",""
"Game","Girls only","3","0","0","0","0","0","0","3","0","0","3","0","0","0","3","0","3","0","0","0","0","",""
"Male","Sports","3","0","0","0","0","0","0","3","0","0","3","0","0","0","3","0","3","0","0","0","0","",""
"Vyshyas","Devotees of vishnu","2","0","0","2","0","0","0","0","0","0","2","0","0","0","2","1","0","0","0","0","0","",""
"Guni garedi","Dahani","2","0","0","0","0","2","0","0","0","0","2","0","0","2","0","2","0","0","0","0","0","",""
"Tribals","Jungli","2","0","0","0","0","2","0","0","0","0","2","0","0","0","2","0","0","0","0","0","2","",""
"Boys","Should not cry","2","0","0","2","0","0","0","0","0","0","2","2","0","0","0","2","0","0","0","0","0","",""
"Dalits","Cleaning worker","2","0","0","0","0","0","0","2","0","0","2","1","0","0","1","1","1","0","0","0","0","",""
"Boys","Smart","2","2","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","",""
"North Indians","Sports activities","2","2","0","0","0","0","0","0","0","0","2","2","0","0","0","2","0","0","0","0","0","",""
"Brahmins","Superior","2","0","0","0","0","1","1","0","0","0","2","1","0","0","1","1","0","0","0","0","1","",""
"Brahmins","Religious","2","1","0","0","0","1","0","0","0","0","1","2","0","0","0","2","0","0","0","0","0","",""
"Boys","Like blue","2","0","0","2","0","0","0","0","0","0","2","2","0","0","0","1","0","0","0","0","0","",""
"Boys","Cannot cry","2","0","0","2","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","",""
"Shettys","Hotels","2","0","2","0","0","0","0","0","0","0","2","1","0","0","0","2","0","0","0","0","0","",""
"Nurses","Are female","2","0","0","0","2","0","0","0","0","0","2","0","0","0","2","2","0","0","0","0","0","",""
"Politicians","Liar","2","0","2","0","0","0","0","0","0","0","2","1","1","0","0","1","0","0","0","1","0","",""
"Hindus","Religion","2","0","0","0","0","1","0","1","0","0","1","0","1","0","1","2","0","0","0","0","0","",""
"Astrologer","Pandit","2","0","0","0","0","0","0","2","0","0","2","0","0","0","2","0","2","0","0","0","0","",""
"Marwadis","Miser","2","0","0","0","0","0","2","0","0","0","2","1","0","0","1","2","0","0","0","0","0","",""
"Female","Creative","2","2","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","",""
"Baniya","Money Minded","2","0","0","0","0","0","0","0","2","0","2","1","0","0","0","1","0","0","0","0","0","",""
"Rajputs","Warriors","2","0","1","0","0","1","0","0","0","0","2","2","0","0","0","2","0","0","0","0","0","",""
"Hindus","Worship","2","0","0","0","0","0","0","2","0","0","2","0","0","0","2","2","0","0","0","0","0","",""
"Marathis","Homemade food","2","2","0","0","0","0","0","0","0","0","2","1","0","0","1","0","0","0","0","0","0","",""
"Men","Doctor","2","0","0","0","0","0","0","2","0","0","2","2","0","0","0","2","0","0","0","0","0","",""
"Girl Child","Curse","2","0","0","0","0","2","0","0","0","0","2","0","0","0","2","0","0","0","0","0","2","",""
"Men","Hardworkers","2","0","0","0","2","0","0","0","0","0","2","1","0","0","1","2","0","0","0","0","0","",""
"Sportsmen","Dumb in studies","2","2","0","0","0","0","0","0","0","0","2","1","0","0","0","2","0","0","0","0","0","",""
"Gujarati","Vegetarian","2","0","0","0","0","0","2","0","0","0","0","2","0","0","0","2","0","0","0","0","0","",""
"Men","Driver","2","0","0","0","0","0","0","2","0","0","2","0","0","0","2","2","0","0","0","0","0","",""
"Female","Domestic work","2","0","0","0","0","2","0","0","0","0","2","1","0","1","0","1","0","0","0","0","1","",""
"Kumhar","Potmaker","2","0","0","0","0","0","0","2","0","0","2","2","0","0","0","1","0","0","0","0","0","",""
"Female","housework","2","0","0","0","0","0","0","0","2","0","2","0","0","0","2","2","0","0","0","0","0","",""
"Cleaner","Poor","2","0","0","0","0","0","0","2","0","0","2","1","0","0","1","1","1","0","0","0","0","",""
"Female","Are bad drivers","2","2","0","0","0","0","0","0","0","0","2","0","1","0","0","2","0","0","0","0","0","",""
"Female","Gold diggers","2","0","0","0","0","0","0","2","0","0","2","2","0","0","0","2","0","0","0","0","0","",""
"Bengalis","Chefs","2","0","1","0","0","0","0","0","1","0","2","2","0","0","0","1","0","1","0","0","0","",""
"Maharashtra","Job","2","0","2","0","0","0","0","0","0","0","2","2","0","0","0","1","0","0","0","0","0","",""
"Maharashtra","Farming","2","0","2","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","",""
"Marwadis","Grain traders","2","2","0","0","0","0","0","0","0","0","2","2","0","0","0","2","0","0","0","0","0","",""
"Odia","Mostly poor","2","0","0","0","0","2","0","0","0","0","2","2","0","0","0","2","0","0","0","0","0","",""
"Odisha","Lethargic citizens","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","",""
"Odisha","Sweets","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0","0","0","0","0","",""
"Old man","Weak","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","",""
"Old people","Week","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","",""
"Old persons","Most of famers","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","",""
"Older people","Weak","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","",""
"Males ","enterpreneur","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","",""
"Pahadis","Climbers","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Old age","Conservative","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","",""
"Paiko","Warrior","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","",""
"Pakistan","Terrorists come from here","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Pakistani","Terrorists","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Pakistani","Terrorist","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","",""
"Pakistani","Poor at English","1","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","",""
"Punjabi","Agriculturists","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Punjabi","Social","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","0","0","0","",""
"Punjabi","Businessmen","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Punjabi","Businessman","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Punjab","Army and agriculture","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Pune people","Sophisticated","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","",""
"Pune","Office Job","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","",""
"Pujaris","God Devotees","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Punjabi","Singers","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","",""
"Poor people","Illiterate","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","",""
"Poor people","Not greedy","1","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","",""
"Farmer","poor","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","",""
"Punjabi","Are most open hearted people.","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Pandit","Saadi","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","",""
"Punjabi","Canada","1","0","0","0","0","0","0","0","1","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Punjabi","Drinks","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","",""
"Punjabi","are fat","1","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Punjabi","Food store","1","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","",""
"Punjabi","Sports","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Punjabi","Social animal","1","0","0","0","0","0","0","0","1","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Punjabi","Positive attitude , cafe's","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","",""
"Punjabi","Stronger","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","",""
"Punjabi","drinkers","1","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Punjabi","Food and catering","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","",""
"Punjabi","Drivers","1","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Punjabi","Extrovert","1","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Punjabi","Drug Addicts","1","0","0","0","0","0","0","0","1","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Punjabi","Restaurants Business","1","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","",""
"Punjabi","NRI","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Punjabi","Hotels/Dhabas","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","",""
"Politician","Nepotistic","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Berhampuri","Abusive ","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Not college educated","unsmart","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","",""
"Odia","brave","1","0","0","0","0","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","",""
"Dhenkanali","criticize","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Punekar","Speak only Marathi","1","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","",""
"Uttar Pradeshis","shop owners","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Uttar Pradeshis","gangster","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","",""
"Politicians","Rulers","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","",""
"Parsis","Car lovers","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Parsi's","Bakery","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Parsi","Are money minded","1","0","0","0","1","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Parsi","Cheap","1","0","0","0","0","0","0","0","1","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Pandits","Knowledgeable persons","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Menstruating women","dirty","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","",""
"Politicians","Bad people","1","0","0","0","1","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Politician","Corrupted","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","",""
"Pink","Female","1","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","",""
"Male","Pilot","1","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","",""
"Pharmacists","Earn good","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","0","0","0","",""
"Pharmacist","Male","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Pharmacist","By profession","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","0","0","0","",""
"North-East People","Are not Indians","1","1","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","",""
"Odisha","Poverty stricken","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","",""
"Mochi","Pot maker only","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Mochis","Cobbler","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Mochi","Pot maker","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Mochi","Poor","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","",""
"Most Indians","Are hindus","1","0","0","1","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","",""
"Most airhostess","Are women","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","",""
"Most athletes","Are males","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Most chefs","Are males","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","",""
"Most cleaners","Are females","1","0","0","0","1","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Mexicans","Bad drivers","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Men","Mature","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","",""
"Men","Are responsible for everything","1","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Men","Are handsome","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","",""
"Men","Do not cry","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","",""
"Men","Ball games","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","",""
"Male","Financial provider","1","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Male","Hardworking","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","",""
"Menstruating Women","Impure","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","",""
"Mental health","Myth","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","0","0","0","",""
"Most cricketers","Are North Indians","1","0","0","1","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","",""
"Most doctors","Are males","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","",""
"Odias","Take a sleep after launch","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Muslims","Lot of children","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Muslim women","Conservative","1","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","",""
"Muslims","Aren't Indians","1","1","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","",""
"Muslims","Non-vegetarian","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Muslims","Hardcore religion","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","",""
"Muslims","Daring","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","",""
"Muslims","Devotees","1","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","",""
"Muslims","Furniture stores","1","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","",""
"Muslims","Illiterate","1","0","0","0","0","0","0","0","1","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Muslims","Politicians","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Mulisms","Buyers","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","",""
"Most girls","Docile","1","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","",""
"Vendors","Illiterate","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","",""
"female","housework","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","",""
"female","housework","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Brahmin","vegetarian","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","",""
"Female","nurse","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","",""
"Punjabi","alcoholic","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","",""
"Mothers","Caring","1","0","0","0","1","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Men","Are very smart","1","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","",""
"Men","Are natural leaders","1","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","",""
"Men","Rapist","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","",""
"Men","Cannot do nursing","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Men","Intelligent","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Men","Higher physical strength","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
"Men","Police","1","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","0","0","",""
